-38.48194, 145.02639000000002
-38.53972, 144.69472000000002
-38.54397, 144.69596
-38.5482, 144.69729
-38.55241, 144.6987
-38.556610000000006, 144.70020000000002
-38.56078, 144.70179000000002
-38.56494, 144.70347
-38.56907, 144.70523
-38.57318, 144.70708000000002
-38.57726, 144.70901
-38.581320000000005, 144.71103000000002
-38.585350000000005, 144.71313
-38.58935, 144.71532000000002
-38.59333, 144.71759
-38.597280000000005, 144.71994
-38.60119, 144.72237
-38.605070000000005, 144.72489000000002
-38.60893, 144.72749000000002
-38.61274, 144.73016
-38.61652, 144.73292
-38.620270000000005, 144.73575000000002
-38.62398, 144.73866
-38.62765, 144.74165000000002
-38.631280000000004, 144.74472
-38.63488, 144.74786
-38.63843, 144.75108
-38.641940000000005, 144.75436000000002
-38.645410000000005, 144.75773
-38.648830000000004, 144.76116000000002
-38.652210000000004, 144.76467000000002
-38.65554, 144.76824000000002
-38.65883, 144.77189
-38.66207, 144.77560000000003
-38.66526, 144.77938
-38.668400000000005, 144.78323
-38.6715, 144.78714000000002
-38.67454, 144.79111
-38.677530000000004, 144.79515
-38.68047, 144.79925
-38.68336, 144.80342000000002
-38.68619, 144.80764000000002
-38.688970000000005, 144.81192000000001
-38.69169, 144.81626
-38.69435, 144.82065
-38.696960000000004, 144.82510000000002
-38.69952, 144.8296
-38.70201, 144.83416000000003
-38.704440000000005, 144.83877
-38.70682, 144.84343
-38.709140000000005, 144.84814
-38.71139, 144.85289
-38.71358, 144.85769000000002
-38.71571, 144.86254000000002
-38.717780000000005, 144.86743
-38.71979, 144.87237000000002
-38.72173, 144.87734
-38.72361, 144.88236
-38.72542, 144.88741000000002
-38.72717, 144.8925
-38.72885, 144.89763000000002
-38.730470000000004, 144.90279
-38.732020000000006, 144.90799
-38.73351, 144.91321000000002
-38.73492, 144.91847
-38.736270000000005, 144.92376000000002
-38.737550000000006, 144.92907000000002
-38.738760000000006, 144.93441
-38.73991, 144.93978
-38.74098, 144.94516000000002
-38.74199, 144.95057
-38.742920000000005, 144.95600000000002
-38.743790000000004, 144.96145
-38.744580000000006, 144.96692000000002
-38.74531, 144.97240000000002
-38.745960000000004, 144.9779
-38.746550000000006, 144.98341000000002
-38.747060000000005, 144.98893
-38.7475, 144.99446
-38.74788, 145
-38.748180000000005, 145.00555
-38.74841, 145.0111
-38.748560000000005, 145.01666
-38.748650000000005, 145.02221
-38.748670000000004, 145.02777
-38.748610000000006, 145.03333
-38.48528, 145.03333
-38.48194, 145.02639000000002
